c_Order_Priority,h_Order_Priority,l_Order_Priority,m_Order_Priority,n_Order_Priority,Order_Quantity,Sales,Target
1,0,0,0,0,14,91.75,1
0,0,0,0,1,46,2332.23,1
0,1,0,0,0,8,1042.25,1
0,0,0,0,1,5,14.76,1
0,0,0,0,1,20,660.27,1
0,0,0,0,1,9,182.26,1
0,0,0,0,1,21,917.39,1
0,0,0,0,1,4,63.52,0
0,0,1,0,0,42,1146.11,1
0,0,1,0,0,24,1350.531,1
1,0,0,0,0,42,493.56,1
0,0,1,0,0,28,370.48,0
0,1,0,0,0,36,9544.18,1
0,0,0,1,0,26,4688.9485,1
1,0,0,0,0,14,633.08,1
1,0,0,0,0,46,7965.9025,1
0,0,1,0,0,8,1313.811,0
1,0,0,0,0,32,9235.97,1
0,1,0,0,0,13,1072.22,1
0,1,0,0,0,25,67.45,1
0,1,0,0,0,35,3389.93,1
0,0,1,0,0,20,42.22,0
0,0,1,0,0,24,4010.9375,1
1,0,0,0,0,25,185.64,0
0,1,0,0,0,5,24.16,1
0,0,0,1,0,42,2475.83,1
1,0,0,0,0,19,7608.88,1
0,0,1,0,0,45,345.2,1
0,0,0,1,0,25,165.36,0
0,0,0,1,0,30,176.15,0
0,0,0,1,0,32,4941.7725,1
0,0,0,1,0,36,4711.244,1
0,0,0,0,1,6,232.21,0
1,0,0,0,0,1,97.13,0
0,0,0,1,0,32,303.59,0
0,1,0,0,0,6,49.55,0
0,0,0,0,1,21,2954.14,0
1,0,0,0,0,4,103.9,0
0,0,1,0,0,21,1049.79,1
0,1,0,0,0,32,270.73,0
1,0,0,0,0,34,216.3,1
0,0,0,1,0,36,1936.3,1
0,1,0,0,0,3,431.29,0
0,0,1,0,0,33,511.83,0
0,1,0,0,0,5,325.43,0
1,0,0,0,0,40,430.88,1
0,1,0,0,0,34,365.77,1
0,0,0,0,1,14,136.85,0
1,0,0,0,0,24,990.1,1
1,0,0,0,0,28,168.57,1
0,0,1,0,0,42,372.69,0
1,0,0,0,0,19,281.84,0
0,0,1,0,0,25,3019.41,1
1,0,0,0,0,15,4012.58,0
0,0,0,1,0,11,152.67,1
1,0,0,0,0,37,443.35,0
0,0,0,0,1,21,330.22,0
0,1,0,0,0,14,2145.6975,0
0,0,0,1,0,10,550.61,1
0,0,0,0,1,1,21.45,0
0,0,0,0,1,22,245.96,0
0,0,0,0,1,6,90.75,0
0,0,1,0,0,36,1646.05,1
1,0,0,0,0,33,1817.9,1
0,0,1,0,0,42,433.68,1
0,1,0,0,0,41,8387.1,1
0,0,0,0,1,17,224.09,0
0,0,1,0,0,4,31.01,0
0,0,0,0,1,15,605.1,1
0,0,0,1,0,44,176.26,1
0,0,0,1,0,2,42.31,0
0,0,0,0,1,47,672.46,1
0,0,1,0,0,31,4726.595,1
0,0,1,0,0,12,47.79,0
1,0,0,0,0,37,4896.93,1
0,0,1,0,0,35,543.22,1
1,0,0,0,0,4,198.72,0
0,0,0,1,0,3,1326.09,0
1,0,0,0,0,48,274.38,0
0,0,0,1,0,44,6040.22,0
0,1,0,0,0,11,80.26,0
0,0,0,0,1,24,73.37,1
1,0,0,0,0,8,327.61,1
0,0,0,0,1,26,1382.31,1
0,0,0,1,0,7,108.26,1
0,1,0,0,0,10,1961.68,0
0,0,0,0,1,30,114.12,1
0,0,0,1,0,8,127.8,0
0,0,0,0,1,14,438.47,1
1,0,0,0,0,22,196.75,1
1,0,0,0,0,23,1404.22,1
1,0,0,0,0,8,27663.92,0
0,0,0,1,0,27,399.76,1
0,0,0,1,0,15,572.4325,0
0,0,0,0,1,1,12.74,0
1,0,0,0,0,17,518.8,1
0,0,0,0,1,48,447.89,0
1,0,0,0,0,31,1295.54,1
0,0,0,0,1,42,1498.46,1
0,0,0,0,1,32,1974.66,0
1,0,0,0,0,36,2051.016,1
0,0,0,1,0,43,7452.137,1
0,1,0,0,0,49,165.51,0
0,1,0,0,0,42,451.32,1
0,0,1,0,0,39,199.39,1
0,0,1,0,0,26,53.93,0
0,0,0,1,0,1,104.85,0
0,0,1,0,0,43,170.81,0
0,0,0,0,1,10,309.3,0
0,0,0,0,1,3,46.46,0
1,0,0,0,0,30,3276.9965,1
0,0,1,0,0,2,19.0,0
0,0,1,0,0,14,84.09,0
0,1,0,0,0,12,503.08,0
0,0,0,0,1,44,5347.13,1
0,0,1,0,0,6,2528.49,1
1,0,0,0,0,26,187.16,1
0,0,0,0,1,26,113.85,0
0,0,1,0,0,26,188.05,0
0,0,1,0,0,34,2154.34,1
0,0,0,1,0,40,933.21,1
0,0,0,1,0,25,409.08,1
0,0,1,0,0,13,64.46,1
0,0,1,0,0,22,446.46,0
1,0,0,0,0,8,234.28,0
0,1,0,0,0,46,2640.6865,1
1,0,0,0,0,13,49.74,1
0,0,1,0,0,18,2480.9205,1
0,0,0,1,0,30,1580.6005,1
0,0,1,0,0,3,171.9635,0
1,0,0,0,0,24,60.36,0
1,0,0,0,0,48,6109.817,1
1,0,0,0,0,16,108.42,0
0,0,0,0,1,40,19109.61,0
0,0,1,0,0,15,310.87,0
0,0,0,0,1,42,121.65,1
1,0,0,0,0,24,1326.51,1
0,0,0,0,1,1,17.89,1
0,0,1,0,0,36,1423.35,0
0,1,0,0,0,36,228.01,0
0,1,0,0,0,21,524.2,1
0,0,1,0,0,13,63.33,0
0,1,0,0,0,5,66.43,0
0,1,0,0,0,18,3780.43,1
0,0,1,0,0,31,614.35,1
1,0,0,0,0,26,208.6,0
1,0,0,0,0,19,146.63,0
0,0,1,0,0,29,87.68,1
0,0,0,0,1,25,237.36,0
0,0,1,0,0,11,618.1965,0
0,0,0,1,0,39,845.9,1
0,1,0,0,0,18,1341.963,1
0,0,0,1,0,8,339.81,1
0,0,0,1,0,17,1616.64,1
0,1,0,0,0,34,667.35,1
1,0,0,0,0,7,381.1995,0
0,0,0,0,1,36,317.59,0
0,0,0,1,0,24,1168.15,0
0,1,0,0,0,1,305.82,0
0,0,0,0,1,28,2752.0,1
1,0,0,0,0,17,1368.14,1
1,0,0,0,0,32,563.08,1
0,0,0,1,0,34,2788.04,0
1,0,0,0,0,23,104.82,1
0,0,0,0,1,39,403.73,0
0,0,1,0,0,1,195.04,0
1,0,0,0,0,9,106.05,0
0,0,1,0,0,46,247.21,0
0,0,0,1,0,6,9620.82,0
0,0,0,1,0,8,16.47,0
1,0,0,0,0,8,754.6555,0
0,0,0,0,1,29,185.61,0
0,0,0,0,1,38,3152.75,1
0,0,0,1,0,37,5610.84,1
0,0,1,0,0,18,881.32,1
0,0,1,0,0,23,631.99,0
0,0,1,0,0,15,67.41,0
0,0,0,1,0,45,253.89,0
1,0,0,0,0,3,58.14,0
0,0,0,1,0,31,1784.048,1
1,0,0,0,0,25,144.84,0
0,0,0,0,1,4,136.68,0
0,0,1,0,0,23,1223.3795,1
1,0,0,0,0,39,1105.66,0
0,0,0,0,1,23,275.16,1
0,0,1,0,0,36,1436.55,0
0,0,1,0,0,33,750.66,1
0,1,0,0,0,47,191.67,0
0,0,0,1,0,45,12571.63,1
0,0,0,0,1,27,1603.27,1
0,0,0,1,0,9,89.55,0
0,0,0,1,0,8,55.59,0
0,1,0,0,0,15,113.5,0
0,1,0,0,0,2,51.21,0
0,1,0,0,0,44,275.91,0
1,0,0,0,0,45,882.96,1
0,0,0,1,0,44,1190.8,1
0,0,0,0,1,40,7381.19,1
0,0,0,1,0,7,44.05,0
1,0,0,0,0,17,86.47,0
1,0,0,0,0,42,460.2,0
0,1,0,0,0,43,683.46,0
0,0,0,1,0,8,820.284,0
0,0,1,0,0,6,826.9735,0
1,0,0,0,0,44,5735.79,1
0,0,0,0,1,12,118.97,0
0,0,1,0,0,39,679.95,0
0,0,1,0,0,10,64.13,0
1,0,0,0,0,13,121.66,0
0,0,0,1,0,30,278.94,0
0,0,0,1,0,14,1170.025,1
1,0,0,0,0,38,260.41,0
1,0,0,0,0,17,124.06,1
0,0,1,0,0,34,223.59,0
0,0,0,0,1,45,132.31,1
0,0,0,0,1,2,24.96,0
0,0,1,0,0,50,8289.51,1
0,1,0,0,0,3,239.03,0
0,0,0,1,0,33,112.36,0
1,0,0,0,0,36,2039.082,1
0,0,0,0,1,46,265.88,0
0,0,0,0,1,29,573.97,1
1,0,0,0,0,18,360.24,0
0,1,0,0,0,20,100.11,0
1,0,0,0,0,14,403.17,1
0,1,0,0,0,50,8221.2935,1
0,0,1,0,0,44,268.34,0
0,0,1,0,0,45,2354.8,1
0,0,1,0,0,31,3229.66,1
0,0,0,0,1,19,3093.864,1
0,1,0,0,0,43,154.18,0
0,0,0,0,1,29,593.32,1
0,0,1,0,0,6,17.0,0
1,0,0,0,0,12,76.61,0
0,0,1,0,0,29,271.33,0
0,0,0,0,1,26,626.07,1
0,0,0,0,1,32,294.04,0
0,0,1,0,0,38,952.47,1
0,1,0,0,0,7,384.33,1
0,0,1,0,0,17,691.59,1
0,0,1,0,0,20,939.39,0
0,0,0,1,0,20,857.95,1
0,0,1,0,0,25,978.77,1
0,0,0,1,0,16,189.04,0
0,0,0,1,0,25,174.03,0
1,0,0,0,0,33,195.98,0
0,0,0,1,0,3,8.6,0
0,0,0,0,1,42,7143.927,1
1,0,0,0,0,16,225.46,0
0,1,0,0,0,41,270.84,0
0,0,0,1,0,7,1120.27,1
1,0,0,0,0,35,246.98,0
0,1,0,0,0,2,30.83,1
0,0,0,0,1,39,1140.26,1
0,0,0,0,1,47,925.3,1
0,0,0,1,0,47,2799.7,1
0,1,0,0,0,15,593.73,1
0,1,0,0,0,22,1132.54,0
0,0,1,0,0,44,1579.56,1
0,1,0,0,0,5,15.38,1
1,0,0,0,0,24,67.35,1
0,0,0,1,0,5,36.86,0
0,1,0,0,0,20,638.72,0
0,0,0,0,1,33,332.95,0
1,0,0,0,0,44,2435.32,1
1,0,0,0,0,31,346.57,0
0,0,1,0,0,38,2157.3085,1
0,0,0,1,0,30,4305.79,1
0,0,1,0,0,2,45.64,0
0,0,0,1,0,4,38.76,0
1,0,0,0,0,23,93.05,1
0,1,0,0,0,37,241.14,0
0,0,1,0,0,42,187.28,0
0,1,0,0,0,43,260.59,0
0,0,1,0,0,19,130.67,0
0,0,0,0,1,6,22.78,1
0,1,0,0,0,15,217.66,0
1,0,0,0,0,38,783.96,0
0,0,1,0,0,15,1062.959,1
0,0,0,1,0,32,368.18,0
0,0,0,1,0,50,690.97,0
1,0,0,0,0,34,225.98,0
1,0,0,0,0,13,438.93,0
0,1,0,0,0,31,8901.78,1
0,0,0,0,1,15,436.05,0
0,1,0,0,0,44,1642.642,1
0,1,0,0,0,36,336.25,1
0,1,0,0,0,7,127.74,0
0,0,0,0,1,45,440.39,1
0,0,0,1,0,7,27.99,0
0,0,1,0,0,9,6420.87,0
0,1,0,0,0,25,342.85,0
0,1,0,0,0,27,4722.83,1
0,0,0,1,0,6,21.07,1
0,0,0,0,1,20,1583.06,1
0,0,1,0,0,28,697.5,1
0,0,0,0,1,34,3375.3075,1
0,0,1,0,0,44,181.61,0
0,1,0,0,0,36,170.42,0
0,1,0,0,0,26,172.76,1
0,0,0,1,0,3,33.64,0
0,0,0,0,1,39,335.35,0
0,0,0,1,0,16,33.76,0
0,0,1,0,0,18,130.32,0
0,1,0,0,0,26,73.82,1
0,0,1,0,0,32,1381.88,1
0,0,1,0,0,48,293.3,0
0,0,0,1,0,25,1809.0125,1
0,0,1,0,0,16,347.47,0
0,0,1,0,0,16,817.18,1
0,0,0,1,0,47,695.99,0
0,0,1,0,0,37,5753.85,1
0,1,0,0,0,29,20872.16,0
0,0,0,0,1,19,82.43,0
1,0,0,0,0,1,232.67,0
0,1,0,0,0,50,5513.82,1
0,1,0,0,0,27,244.57,1
0,0,0,0,1,42,3609.88,0
1,0,0,0,0,7,1874.37,1
0,0,0,0,1,2,789.01,0
0,0,1,0,0,23,404.24,0
0,1,0,0,0,8,1219.19,1
1,0,0,0,0,12,2011.6355,0
0,1,0,0,0,40,196.5,0
0,1,0,0,0,15,76.94,1
0,0,1,0,0,5,25.34,0
1,0,0,0,0,43,1281.28,1
0,0,1,0,0,34,2833.19,1
0,0,0,0,1,5,101.21,1
0,0,0,0,1,29,531.063,1
0,0,1,0,0,4,40.72,0
0,0,0,0,1,29,1158.45,1
0,0,1,0,0,32,3245.73,1
0,1,0,0,0,39,272.07,0
1,0,0,0,0,31,157.79,0
0,0,0,0,1,34,6607.92,1
1,0,0,0,0,44,642.8,0
0,0,0,0,1,9,1288.515,0
0,0,1,0,0,3,523.58,0
1,0,0,0,0,14,138.31,0
0,0,1,0,0,19,195.96,0
1,0,0,0,0,43,1751.68,1
0,1,0,0,0,14,2232.06,1
1,0,0,0,0,5,2019.65,1
0,1,0,0,0,24,4636.62,0
1,0,0,0,0,7,387.17,0
0,0,0,0,1,19,394.27,1
0,0,0,0,1,14,125.54,0
0,0,0,0,1,19,718.41,1
1,0,0,0,0,8,1265.293,0
1,0,0,0,0,12,22079.47,1
0,0,0,0,1,6,323.53,1
0,0,0,1,0,9,186.67,1
0,0,0,0,1,30,5015.051,1
0,1,0,0,0,43,6583.913,1
1,0,0,0,0,8,49.04,1
0,0,0,1,0,14,222.91,1
0,0,0,0,1,2,19.02,1
0,1,0,0,0,19,120.56,0
0,1,0,0,0,6,34.88,0
0,1,0,0,0,21,2781.82,0
0,0,1,0,0,44,210.46,1
0,0,0,0,1,7,384.2,0
0,0,0,0,1,10,152.84,1
0,0,0,0,1,40,6789.9275,1
0,0,0,0,1,45,529.28,0
0,0,1,0,0,20,310.31,1
0,1,0,0,0,24,68.88,1
0,0,1,0,0,28,967.27,1
0,1,0,0,0,31,127.9,1
1,0,0,0,0,36,283.21,0
0,0,0,1,0,38,154.85,0
0,0,1,0,0,5,397.55,0
0,0,0,1,0,36,152.96,0
0,0,0,0,1,20,205.33,1
0,0,0,1,0,39,5250.6625,1
0,0,0,1,0,14,782.4505,0
0,1,0,0,0,42,266.36,0
1,0,0,0,0,19,3548.67,1
0,1,0,0,0,35,3310.9455,1
0,0,0,1,0,28,1546.3965,1
0,0,1,0,0,43,1307.35,0
0,1,0,0,0,42,557.85,1
0,0,0,0,1,45,1090.6,1
0,0,0,0,1,43,2568.71,1
0,0,1,0,0,48,8101.9875,1
1,0,0,0,0,25,509.52,0
0,0,0,1,0,3,279.33,0
0,1,0,0,0,35,195.23,0
1,0,0,0,0,4,97.57,0
0,0,1,0,0,5,503.3275,0
0,0,0,1,0,42,1811.3,1
0,1,0,0,0,41,4256.51,1
0,0,1,0,0,25,2529.396,1
0,0,0,0,1,45,168.66,0
0,1,0,0,0,29,5010.7415,1
0,1,0,0,0,2,68.66,0
0,0,0,0,1,47,186.93,1
0,0,0,0,1,1,65.7475,0
0,1,0,0,0,7,1158.26,1
0,1,0,0,0,29,2754.93,0
0,0,0,0,1,31,295.97,1
0,0,0,0,1,8,184.07,1
0,0,0,0,1,7,497.2,0
0,0,0,1,0,9,196.41,1
1,0,0,0,0,32,4906.85,1
1,0,0,0,0,45,2404.599,1
0,1,0,0,0,29,1669.88,1
0,0,1,0,0,32,2593.08,0
0,0,0,1,0,24,492.71,1
0,1,0,0,0,15,260.39,0
0,0,0,1,0,38,2063.42,1
0,0,0,0,1,14,1966.26,0
1,0,0,0,0,4,30.85,0
0,0,0,1,0,49,7002.08,0
0,0,0,1,0,9,43.26,1
0,0,0,0,1,37,740.14,1
0,0,0,0,1,24,1452.48,1
0,1,0,0,0,9,264.63,0
0,1,0,0,0,15,19417.55,1
0,1,0,0,0,8,468.49,0
0,0,1,0,0,26,390.2,1
0,1,0,0,0,23,1314.64,1
0,1,0,0,0,2,811.13,0
1,0,0,0,0,37,1601.24,1
0,0,1,0,0,5,820.5645,0
1,0,0,0,0,31,206.54,0
0,0,1,0,0,34,676.26,1
0,0,0,1,0,44,792.8,1
0,0,0,0,1,46,3197.45,1
0,1,0,0,0,24,2298.32,1
1,0,0,0,0,21,4242.76,1
1,0,0,0,0,21,309.62,0
0,0,0,0,1,25,802.19,1
0,0,0,0,1,13,59.03,1
0,0,0,0,1,43,858.53,0
0,1,0,0,0,4,14.23,0
0,1,0,0,0,20,794.32,1
0,0,1,0,0,34,74.3,0
0,0,0,0,1,10,1925.83,1
0,1,0,0,0,9,298.52,1
0,0,0,1,0,29,1194.96,1
0,1,0,0,0,4,62.45,0
0,1,0,0,0,5,217.85,0
0,0,0,1,0,16,2631.107,1
0,0,1,0,0,46,331.83,0
0,0,0,1,0,36,191.6,0
0,0,0,0,1,30,251.11,1
0,0,0,1,0,22,446.72,0
0,1,0,0,0,27,63.71,0
1,0,0,0,0,2,34.88,0
0,0,1,0,0,41,152.28,0
1,0,0,0,0,31,639.19,1
0,1,0,0,0,48,446.53,0
0,1,0,0,0,36,275.06,0
0,0,1,0,0,46,7441.29,1
0,0,1,0,0,2,13.3,0
0,0,0,1,0,24,238.25,0
0,1,0,0,0,44,10087.6,1
0,0,0,1,0,35,17387.65,1
0,0,1,0,0,15,687.52,1
1,0,0,0,0,27,78.47,1
0,0,0,1,0,46,1482.01,1
1,0,0,0,0,15,85.56,0
0,1,0,0,0,2,29.31,0
0,0,0,0,1,26,258.11,1
1,0,0,0,0,22,440.92,0
0,0,0,0,1,35,543.72,0
1,0,0,0,0,37,608.33,0
0,1,0,0,0,6,112.4,0
1,0,0,0,0,45,698.1,1
0,0,1,0,0,25,854.88,0
0,0,0,0,1,34,772.56,1
0,0,1,0,0,22,43.97,0
0,1,0,0,0,1,3672.89,0
0,0,1,0,0,36,7783.36,1
1,0,0,0,0,20,963.3,1
0,0,0,1,0,29,862.2,0
0,0,0,1,0,28,1350.34,0
0,0,1,0,0,3,63.84,0
0,0,1,0,0,15,834.904,0
0,0,1,0,0,37,102.46,1
0,0,0,1,0,39,796.08,1
0,0,0,0,1,37,270.43,0
0,0,0,1,0,16,481.049,1
0,0,1,0,0,32,1997.13,1
1,0,0,0,0,17,477.5045,0
0,1,0,0,0,18,507.64,1
0,1,0,0,0,44,185.32,0
0,0,0,0,1,49,213.71,0
1,0,0,0,0,34,971.95,0
0,1,0,0,0,24,1482.81,0
0,1,0,0,0,13,47.93,1
0,0,0,0,1,12,72.82,1
0,0,0,0,1,11,10145.14,1
0,1,0,0,0,46,7807.45,1
0,0,1,0,0,46,411.56,0
0,0,0,0,1,49,5247.4835,1
1,0,0,0,0,1,62.26,0
0,0,0,0,1,31,2645.8,0
0,0,0,1,0,5,185.79,0
0,0,0,0,1,20,1163.123,1
0,0,0,1,0,34,2560.59,1
0,0,0,0,1,36,277.88,0
0,0,0,0,1,27,2780.88,1
0,1,0,0,0,47,256.0,0
1,0,0,0,0,32,1829.387,1
0,0,0,0,1,8,435.29,1
0,0,0,0,1,18,101.34,1
0,1,0,0,0,47,1060.0605,0
1,0,0,0,0,50,820.52,0
0,0,0,0,1,36,551.44,1
0,1,0,0,0,31,166.76,0
0,0,1,0,0,21,4429.69,1
1,0,0,0,0,27,384.9,0
0,1,0,0,0,25,2674.18,1
1,0,0,0,0,40,1477.39,1
0,0,1,0,0,42,173.44,0
